============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape1] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype1-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape1] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype2-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape1] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype0-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape1] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype1-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape1] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape2] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape3] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape4] PASSED
test_to_copy.py::test_to_copy_uint8_to_int[dst_dtype2-shape5] PASSED

=============================== warnings summary ===============================
tests/test_to_copy.py::test_to_dtype[torch.complex32-shape0]
  /workspace/FlagGems/tests/test_to_copy.py:81: UserWarning: ComplexHalf support is experimental and many operators don't support it yet. (Triggered internally at ../aten/src/ATen/EmptyTensor.cpp:46.)
    ref_out = ref_x.to(dtype)

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
============== 314 passed, 50777 deselected, 1 warning in 45.12s ===============
